,UNDR01_2HCb,UNDR01_2MCb,UNDR03_102,UNDR03_117,UNDR03_118,UNDR03_119,UNDR03_121,UNDR03_122,UNDR03_123,UNDR03_1HAb,UNDR03_1HBb,UNDR03_1MAa,UNDR03_1MCa,UNDR03_2,UNDR03_22,UNDR03_23,UNDR03_24,UNDR03_25,UNDR03_26,UNDR03_27,UNDR03_2HBb,UNDR03_2MAa,UNDR03_2MBb,UNDR03_3,UNDR03_4,UNDR03_5,UNDR03_6,UNDR03_7,UNDR03_74,UNDR03_75,UNDR03_76,UNDR03_78,UNDR03_79,UNDR03_80,merge_NG-28520_B06,merge_NG-28520_B11,merge_NG-28520_B16,merge_NG-28520_B22,merge_NG-28520_B28,merge_NG-28520_B34,merge_NG-28520_B39,merge_NG-28520_B44,merge_NG-28520_B50,merge_NG-28520_B56,merge_NG-28520_B62,merge_NG-28520_B67,merge_NG-28520_B72,merge_NG-28520_B78,merge_NG-28520_B84,merge_NG-28520_B85,merge_NG-28520_B88,merge_NG-28520_B91,merge_NG-28520_B94,merge_NG-28520_B95,merge_NG-28520_B96
UNDR03_76-bin.65,78,127,212183,221229,277060,59151,94182,188821,156146,3,17,2,9,140,53,104,205,895,710,2462,284,192,148,970,3447,4872,2878,1174,50062,130884,78193,162006,144534,128654,102059,202296,92249,50344,54153,39049,107311,7491,4601,82718,69846,47129,29929,14903,53265,121080,86131,51016,20964,28250,27203
UNDR03_76-bin.68,1629,2312,1000,14,13,2,155,197,387,3,8,17,18,1,5,2,1,0,6,7,3250,2734,3258,3,4,15,3,0,113305,5752,263357,259985,98715,170279,7,6,6,6,8,6,4,12,2,6,7,6,6,9,10,13,5,7,8,8,9
UNDR03_76-bin.78,181,162,46562,2100,1894,1313,294,7596,5784,2,28,5,7,103,5,88,3,18,65,34,497,240,218,8,7,78,33,21,6743,4705,54018,6229,1722,1641,30,22,28,24,41,26,54,34,16,31,57,110,107,93,53,313,271,17,457,155,201
UNDR03_76-bin.95,251,552,83881,8651,13269,2723,25930,37217,29429,1,2,4,1,38,13,16,89,2,22,26,634,701,533,22,20,36,18,16,200320,14078,203944,27530,41552,16693,1860,3320,15545,4442,4815,1219,3401,10942,4002,22708,3595,5040,11936,22915,36704,12874,12477,7484,7513,8436,17175
UNDR03_76-bin.96,68,58,19421,10319,5270,2099,1043,2292,1246,5,3,7,3,25601,491,425,42,325,26,120,204,99,115,9976,428,738,23578,17608,24179,17395,36531,15002,11380,10703,397,149,61,73,41,2803,5589,6435,2648,129,5854,6850,7238,7281,1193,7295,8192,707,689,5513,1873
UNDR03_78-bin.10,6733,754,2452597,4500554,4516508,1365380,1116845,1457916,1375715,1056,6090,86,80,1985,237,326,2242,1037,2815,1899,11762,2772,500,4117,3521,6317,3065,3689,1335893,1489611,1694270,875672,846160,1209547,668908,725897,435949,700511,332806,482882,1058697,595743,399024,328144,615707,780501,414333,419904,261983,1163375,1050633,581413,322000,429610,169774
UNDR03_78-bin.11,168,27,1772,1453,1751,513,483,392,472,22,66,15,8,5,3,0,3,18,33,16,470,36,56,81,70,44,147,6,785,377,8811,22896,13030,10380,1259,1486,1430,1097,363,481,1149,1071,349,774,783,654,557,390,551,469,463,612,163,338,490
UNDR03_78-bin.3,2893,2493,34550,2749,3430,449,6990,20146,12657,8,17,184,131,0,4,7,9,4,20,16,6104,3586,4429,5,3,34,7,7,79942,251437,113933,141911,146676,151283,1705,2463,788,525,966,2033,1809,534,257,1201,18895,10235,5673,6324,2851,23079,18096,22707,17919,9171,6487
UNDR03_78-bin.40,354,33,1059,214,254,47,21941,14611,16007,22,109,30,27,123,568,418,503,433,961,376,852,81,59,367,70,2709,649,435,1824,796,2026,93567,48782,36156,180,117,22,19,28,96,142,130,17,30,271,104,69,282,60,276,294,448,68,417,54
UNDR03_78-bin.53,1279,466,4969,1200,1986,332,1825,3855,2854,45,202,3,4,620,939,345,156,136,181,357,2369,789,716,905,312,3484,690,417,3830,4715,5671,31098,19967,14213,102,277,168,111,102,47,226,151,99,140,680,734,836,1538,969,929,899,501,575,555,841
UNDR03_78-bin.63,5518,12863,589,273,242,77,165,164,135,6,24,225,1547,21701,2,1,2,3,14,3,6645,45605,7256,78899,30896,23122,5724,1324,3302,2747,3257,59250,23783,21650,623,67,98,317,6583,427,107,77,84,5571,454,334,141,177,1502,1139,1128,158,2260,920,231
UNDR03_78-bin.66,18,1,96002,14011,13036,3300,8371,15274,10521,13,27,4,5,2,4,5,6,3,29,108,159,16,5,2,1,74,8,15,48531,20992,91820,195932,147785,39066,25,24,17,10,25,26,18,17,16,56,379,40,38,86,64,447,440,2255,45,37,60
UNDR03_78-bin.71,75,91,102649,70133,96141,27505,117534,127234,103396,5,32,7,5,24,49,10,10,45,22,1275,374,174,119,110,43,1386,898,1520,42240,54724,68240,167929,125969,82667,2066,13375,14448,11060,11852,1464,12963,12713,7034,16366,15385,6393,6067,5390,13771,14075,13392,34456,26117,11898,16419
UNDR03_78-bin.77,247,61,164,80,96,18,8455,55232,42372,18,63,74,59,84,21,17,34,25,41,172,732,167,131,42,25,296,42,85,691,306,524,55027,27592,16338,29,17,41,21,56,29,30,32,18,73,68,38,35,43,60,105,104,50,37,17,89
UNDR03_78-bin.82,3487,851,39753,21508,30227,6398,68538,75674,49996,2714,9308,63,66,4773,16651,3481,12448,13080,2932,20685,5002,2719,509,13866,8104,48917,22302,52328,30490,22657,32630,124029,44783,43923,73328,36339,62985,90791,105234,38998,49157,51056,38981,60385,42882,31653,27034,34967,23815,33060,25521,7841,14881,19678,15062
UNDR03_79-bin.21,4035,1185,8218,5522,6040,1597,6966,10202,8725,3334,9863,356,330,3025,1869,11443,4230,1618,15807,48803,7702,3243,982,8493,2754,16750,5628,8013,19122,3390,9810,45084,155542,97558,2853,2699,2752,2060,1942,1954,3363,3034,1430,2512,5100,2885,2037,1813,2587,1984,1959,2460,1025,2197,932
UNDR03_79-bin.25,37,73,113715,3505,23999,1310,46407,13905,34142,0,3,1,1,13,10,0,3,166,191,86,96,103,77,6,21,793,39,11,91189,46356,89348,121478,22103,59429,10383,621831,718117,535427,498493,5559,586728,632393,342804,641182,20742,113652,181041,153902,550589,2423,2106,9886,37304,224375,141852
UNDR03_79-bin.3,31,1,1589,784,677,230,8667,9619,11244,2,19,0,2,0,2,1,2,0,8,16,169,8,8,0,0,8,5,2,2249,1931,1753,16916,23153,19186,2372,267,256,1289,153,1698,416,291,399,189,1679,1405,534,549,324,3247,3050,547,419,273,196
UNDR03_79-bin.36,126,38,200,238,277,53,106,98,112,32,162,51,41,14,13,15,29,6,73,137,672,45,58,37,31,158,48,21,298,224,235,83996,108004,8882,37,32,25,13,45,30,88,47,38,47,47,42,37,41,46,48,47,38,11,45,15
UNDR03_79-bin.5,51965,12663,61264,30560,31426,8451,42977,60209,48183,37044,145328,2523,3443,48129,12884,23166,15138,10963,18955,43346,89901,27782,13601,139881,114470,465471,172774,275504,47476,42801,63147,111523,96118,98994,22152,61958,25054,48865,89712,17695,65493,30117,41870,84064,30352,28668,27483,34663,53475,37415,36283,14581,21162,21889,19102
UNDR03_79-bin.50,9903,1138,6266,989,1784,219,1143,859,1024,323,1608,124,188,25980,46530,39640,90821,35382,74681,4368,18255,4313,521,55256,33423,33614,14295,18037,63357,62703,76715,155193,153569,121255,57,34,38,44,51,65,51,66,46,32,1355,203,66,72,59,681,611,760,107,181,178
UNDR03_79-bin.58,4042,922,30537,20386,21906,7628,18861,30325,27159,7,5,0,2,1836,158,779,0,1872,24,0,9246,1899,1077,2713,1080,4211,1681,934,14062,12186,21495,15591,17858,13823,692,785,383,589,1125,571,1317,621,738,1070,3040,3183,2051,1660,1077,7326,6744,8243,10458,1560,13137
UNDR03_79-bin.80,888,464,6137,1772,2727,682,4977,7488,5677,6,2,5,7,1274,79,134,96,79,121,83,1475,676,805,312,78,1340,20156,2838,5322,5391,8550,34270,35901,20617,443,2575,2965,1643,2007,260,1554,1161,454,2158,1656,1679,1534,1511,1217,1377,1322,774,964,1202,872
UNDR03_79-bin.81,547,59,3022,9595,10483,2769,12867,20349,16457,36,299,7,2,77,79,107,320,54,272,30,1766,197,89,129,100,392,53,72,5758,9682,5099,106837,120545,78437,4690,1996,2992,2539,5000,3455,2450,3478,2554,4339,3751,3465,1918,2954,3308,5357,5117,1674,646,1960,847
UNDR03_79-bin.87,183,142,14457,41,184,3395,14716,25278,20548,15,91,6,7,11,8,14,16,8,53,106,553,255,157,16,16,60,19,32,15659,11931,46001,39893,74518,51914,25,35,36,29,27,29,50,228,50,29,58,23,129,111,66,174,162,92,51,59,120
UNDR03_79-bin.93,74,3,383,390,445,91,238,346,258,78,245,11,7,2,3,8,5,2,18,59,334,14,13,5,1,51,19,10,355,184110,364,318,281966,12486,38,36,23,17,43,45,112,43,31,46,44,36,22,32,39,43,46,35,18,26,11
UNDR03_80-bin.0,32308,173,107,157,120,18,182,215,256,232,1158,148,108,25,90,187,34,98,295,191,64927,337,488,62,32,1026,277,267,42,50,38,167151,96057,222523,66,71,108,49,106,108,76,161,63,110,164,116,145,108,112,147,163,92,37,85,38
UNDR03_80-bin.103,2670,3460,4765129,1099363,2482002,247363,1148032,763806,967527,268,1608,993,885,1830,5415,2337,2419,5216,2279,642220,7766,2949,4569,5574,2907,75107,419800,50596,1369042,1010388,198481,394725,104284,1334786,50190,22892,10128,24899,7799,31018,21649,5760,4532,2724,2015749,185316,40759,29338,11740,949588,762129,781572,133742,277032,227031
UNDR03_80-bin.25,62,58,4539,1640,2154,829,3059,4643,4406,8,37,9,8,72,16,27,100,11,80,18,238,84,68,66,29,641,393,227,4583,5261,5284,6092,5810,176871,1401,2089,3225,6104,2229,814,3209,2149,2511,3672,1349,7089,5038,7670,5109,1293,1281,559,2388,3660,3527
UNDR03_80-bin.30,66,90,369940,21066,29760,8022,57828,45335,45469,19,64,6,7,44,32,23,10,19,35,1112,291,144,126,76,23,2290,4672,327,34113,9832,22195,55188,25568,96858,1668,12615,13736,17011,12517,1148,13726,13223,7944,19325,134832,47409,17476,13918,20769,3882,3786,66737,21232,42541,19119
UNDR03_80-bin.36,417,921,18678,2199,1305,439,14855,16193,12706,6,24,28,20,22,2,1,2,2,5,9,1287,519,1154,2,2,163,47,38,13513,15332,19075,21136,28462,24181,50,91,58,72,39,25,113,73,56,101,16887,1954,291,185,142,1060,1053,11721,317,342,4907
UNDR03_80-bin.41,4,1,100,98,111,18,177,231,237,0,3,1,0,0,0,1,0,0,0,461,26,6,1,0,0,4,0,93,68,64,142,3464,3782,19796,8,9,12,18,16,10,24,17,23,16,45,14,41,38,27,1,2,59,13,54,32
UNDR03_80-bin.46,1931,2488,457,56,104,30,344,166,187,9,16,42,21,1,3,4,2,1,5,11,4607,3387,4372,6,6,22,3,1,60902,76836,136621,371266,233302,740403,27,39,41,30,42,8,12,21,13,45,183,58,65,54,42,13,15,39,26,76,26
UNDR03_80-bin.54,4371,4607,7769,853,683,167,973,1243,942,15,72,253,208,1,4,2,6,1,6,10,9252,5771,9335,10,3,32,8,37,45867,46294,54711,45933,28087,63497,653,310,239,86,1164,528,290,166,70,1815,969,1031,468,366,1306,1353,1457,164,971,1225,328
UNDR03_80-bin.60,147,107,217,174,230,80,135,240,325,1,5,8,8,1,0,0,0,0,19,3,308,159,177,0,0,8836,1,1,313,447,570,3413,4380,31547,33,30,30,20,23,18,24,28,19,43,39,49,61,47,35,188,178,27,266,76,114
UNDR03_80-bin.63,1419,2746,56364,385,148729,88,220161,123,163166,3,5,3,13,1,2,8,3,1,5,158,4705,5137,3166,8,2,99,0,8,152797,16,232521,98745,309,3895353,55629,42579,34695,35727,25021,805,5946,4275,4824,31732,464955,151403,99014,114373,70166,11,21,145721,41571,173451,50725
UNDR03_80-bin.71,3470,31,1311,648,590,173,427,398,343,33,90,21,9,142,152,14,24,22,518,390,7781,102,56,23,18,75,228,195,721,612,22384,1522,1670,33804,1036,385,354,714,172,651,392,362,234,278,1196,712,397,488,351,1439,1320,410,401,416,255
UNDR03_80-bin.79,1500,1341,1701,572,701,109,9398,1794,3696,125,711,656,656,57,76,88,132,63,357,1440,3463,1575,2317,122,79,860,241,410,8041,636,7362,50800,11186,139083,135,95,91,84,116,102,99,99,67,110,329,197,165,169,111,239,195,332,172,114,192
UNDR03_80-bin.8,160,149,2627,185,1609,114,2413,1578,1828,3,7,9,8,4,3,6,7,1,5,16,470,252,158,1,1,34,16,2,1073,211,1009,80407,74398,260594,44,21,16,11,11,27,17,12,14,16,1249,142,33,35,17,589,517,80,86,58,276
UNDR03_80-bin.80,320,826,13795,2753,2013,718,7952,11464,10177,4159,11847,21,24,4138,0,2,158,65,89,477,680,2381,679,664,317,5161,1011,3757,22833,21254,36797,30798,23876,36039,680,1293,1353,1135,529,537,1854,1729,781,1185,6440,3455,2830,3547,2239,5543,5279,6141,4961,4620,5827
UNDR03_80-bin.85,125,81,2093,647,741,195,1148,1488,1224,0,16,6,1,216,71,223,117,43,72,139553,335,81,82,130,33,11051,11947,6030,1898,1269,2891,3360,2457,16784,142,367,315,463,388,144,434,321,286,494,1306,858,426,644,532,918,768,868,283,825,466
UNDR03_80-bin.93,7820,8346,1133678,782953,765325,152599,456290,636048,610195,48,240,297,207,13,26,17,35,17,132,381,16543,9472,15499,31,44,275,69,67,166943,113236,431084,406331,409831,510027,170313,11669,11187,12114,9659,60277,7641,3872,2161,11811,237978,193732,242683,183355,63401,413324,315444,524854,410786,24235,414190
UNDR03_80-bin.94,56840,18651,18361,923,783,210,7185,8411,8066,6,20,44,33,1,0,0,1,10,16,3,90454,40521,37686,1,1,21,4,2,22031,39299,37694,79496,67310,86196,178,81,77,79,247,71,50,94,85,266,2598,5009,8980,15829,10860,502,466,1070,1118,2712,7272
UNDR03_80-bin.97,30808,7140,719946,627214,740422,189238,694705,802031,709687,9664,41367,455,646,103419,93797,107529,147109,63393,79068,219659,50712,19497,5176,232349,148177,259968,133744,195749,347675,491826,396051,699927,588062,679286,199077,143285,199852,229243,189596,158830,245797,252561,132426,186861,365169,209418,172233,182832,190271,400700,307395,218017,211210,197985,256407
merge_NG-28520_B06-bin.10,92,36,382689,424074,502100,113357,164323,197493,200458,14,69,41,24,5,2,15,11,7,16,25,468,40,51,8,3,67,10,4,412248,254401,388100,393969,260390,360542,52192,56143,19974,5381,38450,32600,141056,45773,24189,38029,17560,44290,16878,16652,48000,47455,45965,37665,12139,30567,6762
merge_NG-28520_B06-bin.11,1913,1913,30925,44251,34599,9093,165515,246804,182829,4,10,81,72,0,2,1,1,0,2,1,4349,2476,3499,2,1,13,2,2,81582,262314,367719,316568,157631,125907,37892,146756,69094,14118,11404,12094,67551,36732,10677,27169,138899,126693,84908,68683,45283,33808,35688,153511,27073,48881,62602
merge_NG-28520_B06-bin.12,128,28,65337,58056,71069,19792,19382,16890,19051,30,118,11,9,1525,1774,92,78,584,280,4236,724,50,67,778,464,2676,5933,2742,27131,7065,41151,21837,17084,17074,60739,68670,64516,51802,18323,22701,53018,50459,17041,39221,31441,29632,26419,18782,27075,20714,20002,19644,7631,16370,22888
merge_NG-28520_B06-bin.15,49,43,2937,3125,56343,815,6739,10806,8256,6,21,7,9,699,828,872,706,432,652,7347,251,36,84,1494,1005,2348,1016,1334,1962,2193,2451,5382,4170,3869,11898,17668,14496,11805,11562,6105,15808,8122,7632,12925,5613,20014,22646,20107,18982,118819,128515,2271,112691,5503,36259
merge_NG-28520_B06-bin.16,2446,316,329273,179247,141040,38732,225337,277447,195954,128,692,105,72,31,228,245,51,315,635,218,7841,307,774,101,65,3109,880,618,10548,19403,2279,31030,32469,36801,165513,62767,25527,6880,244490,126969,53901,19692,5810,389325,235655,199909,41211,19827,268298,209871,238470,23988,8738,127359,10688
merge_NG-28520_B06-bin.19,7741,8215,853937,588545,925862,201522,1063480,1158036,1013174,3,6,13,9,0,2,1,5,3,5,4,17293,14886,10221,9,4,11,2,4,73087,2001575,165515,1281585,713657,398781,47414,78605,35149,133515,87753,36990,82710,22475,29737,100524,614988,300023,112585,123046,104635,2281353,1629936,1444635,3902105,469109,3495916
merge_NG-28520_B06-bin.20,1505,3445,6609471,1418088,4162024,376193,1409061,934859,1182481,6,23,21,43,934,6012,1200,2244,11374,847,1050922,4610,2287,3935,2636,1591,91555,506754,61081,1803517,1247290,179935,463879,113203,1189376,87512,38716,16760,32122,9602,53807,35601,8547,5827,2858,3425209,309087,56038,39553,16335,1650494,1329905,954136,188996,357791,352642
merge_NG-28520_B06-bin.24,1082,523,6976,17772,5940,8868,1025,682,810,127,750,847,636,830,1563,638,752,1679,1444,7235,3381,876,1223,2158,948,4517,1773,3479,1457,1896,1891,4979,1787,2499,237378,586,548,385,614,2279,890,708,528,701,2070,707,475,616,633,33289,28883,799,394,590,1098
merge_NG-28520_B06-bin.25,217,152,19184,15014,18395,5072,37412,34820,32323,15,131,16,28,1451,2125,3532,6387,3777,4112,12845,747,239,178,10098,2883,11260,7314,8936,11892,10396,15018,77929,56250,29384,697266,299007,564615,918682,1295061,275458,358059,354563,397166,657349,131601,206887,189836,332134,192181,2976,3033,10915,130233,107906,102248
merge_NG-28520_B06-bin.33,219,17,260263,80209,104282,27658,40251,22416,17451,58,281,35,14,12,18,15,23,7,448,4203,986,52,58,6,10,143,101,667,168808,51291,125826,93556,108028,108959,15957,28656,36086,21832,27000,18245,37801,41540,16887,39318,210938,80628,68041,68485,58296,31217,30362,45362,7094,53592,11345
merge_NG-28520_B06-bin.35,828,1817,8950944,9685287,9992491,2557441,5739107,5291846,5522903,16,82,48,54,55,59,88,170,53,176,64,1467,6390,2379,159,112,234,62,89,3698768,7337800,5037524,7684847,5735295,5067908,4234993,1196483,2606044,3193524,1636795,4219902,3464668,4610747,1358660,1475075,7214971,2975231,2690895,1931109,1058659,8184362,5841548,2847496,861226,2376846,2241933
merge_NG-28520_B06-bin.4,371,358,171881,88187,55899,55586,11301,13289,10733,38,161,23,32,2750,3101,5244,7655,3672,4261,79851,1213,431,412,17312,9875,34996,10203,14630,24505,16862,19677,14398,11389,9360,691530,92132,415600,116863,47205,965186,761152,1664802,331410,83751,644246,1003727,1037021,819149,128536,282334,260614,7834,21013,254309,52692
merge_NG-28520_B06-bin.40,92,8,371814,493394,421259,189497,187125,168716,236195,36,161,11,5,45,32,10,14,19,31,114,420,41,33,34,19,245,65,105,337357,321490,263446,236962,285794,108028,56303,41792,32350,9326,4691,77783,286686,163975,22575,20249,220072,88488,115286,59495,77882,186866,182605,7544,11069,196814,12207
merge_NG-28520_B06-bin.42,1558,1866,1823,2692,2529,1089,3523650,5299174,3773815,29,117,17,11,12,9,22,43,12,64,10,3480,3593,1972,37,17,80,28,30,702,911,947,2463677,3462079,2639882,369259,622699,525637,738419,783583,91814,499657,287644,189035,770767,1194703,816706,346759,308336,721773,761,788,748267,294166,780502,492612
merge_NG-28520_B06-bin.43,113,28,3740,52128,48469,12277,13252,7500,10324,26,122,25,13,350,492,320,297,130,234,2842278,464,34,43,541,346,492,287,2238941,31544,41646,44218,35114,6831,6208,177824,9082,2898,6957,14190,480876,285658,339102,62831,12613,253564,107169,207978,91970,7756,8513,7513,314739,1773,4451,66350
merge_NG-28520_B06-bin.44,1009,2078,424425,6390,1087260,1774,1624170,1726,1221835,5,3,8,11,5,16,11,15,5,37,48,3101,4274,2473,13,9,211,10,170,720512,1216,939064,723324,693,571736,458711,341309,284133,295534,202475,6912,48031,34746,39627,257661,3646961,1219202,805870,927837,564997,541,652,1123128,341582,1402732,411488
merge_NG-28520_B06-bin.49,64,119,455109,5677,83517,2480,134843,10300,86917,7,13,7,6,762,358,1313,214,55,644,1107,288,182,129,985,2138,714,4437,1438,366134,182383,339661,311906,34941,110114,25086,2569960,2936258,2211857,2070298,7937,2411628,2594933,1426112,2650222,6065,402881,708375,595136,2253833,781,689,19956,118060,920583,563422
merge_NG-28520_B06-bin.5,4471,1045,878241,1654283,2256197,618358,4839515,5739761,4825057,607,3317,48,65,584,1138,416,2058,215,1094,129,6366,3327,812,953,614,1452,390,538,248610,574847,772277,995893,1506443,940422,510738,229114,317522,190832,288108,323017,292911,329456,156052,262334,372546,354377,221211,238092,235092,232539,250003,289246,221123,122299,128227
merge_NG-28520_B06-bin.51,78,11,9736,5935,5869,1629,1905,1531,2489,23,90,5,0,111,161,2,9,109,786,1470,177,18,16,9,0,157,230,274,18727,2950,5614,14759,9241,11529,8492,2615,3556,3303,2845,3959,2884,2798,2142,2527,6927,3289,2536,2427,2226,1592,1518,306,2327,2690,1231
merge_NG-28520_B06-bin.54,18,13,20815,15356,18447,4724,3345,5860,6456,4,43,2,2,683,729,510,500,152,400,157,90,6,30,940,671,775,567,38,4283,6907,3602,5798,4490,7207,17317,13051,20366,14507,10274,11298,16201,16299,7074,13216,14904,7765,9010,5518,7194,9531,9258,18639,12878,7940,3648
merge_NG-28520_B06-bin.55,261,253,53917,52215,63987,16161,745968,1088891,687036,15,155,308,81,7940,4049,3498,4472,3970,3807,15581,1006,359,288,22877,4383,21869,16674,15192,35799,35004,40110,64120,34755,21806,690189,1082830,837025,376347,349782,428953,1260934,592300,198060,480409,259516,799950,377593,339184,258370,17582,15600,145400,58771,207757,138155
merge_NG-28520_B06-bin.56,4231,551,295340,1633743,1779672,458666,824543,1303591,890106,703,3952,52,57,333,274,400,2488,1068,2831,344,6614,1923,319,693,586,2310,741,883,1346895,2308594,955729,1715157,1498153,1024118,886888,439259,649330,707406,1212931,638891,541669,662746,677931,1043202,646206,868091,406768,681695,804166,1251858,1272567,223378,117282,433056,204802
merge_NG-28520_B06-bin.57,22,26,85689,9452,24449,1601,32583,37260,29678,4,23,59,38,4,3,0,1,1,6,18,134,87,29,3,6,28,3,149,141905,9424,203749,169886,141327,308624,37703,31051,1996,1372,760,18521,35848,2111,1843,1527,10132,9104,2658,2086,1903,13859,12870,3220,1171,20151,916
merge_NG-28520_B06-bin.58,169,242,450386,28457,48779,9259,31723,13031,63901,11,79,5,6,1412,1721,1031,763,834,765,1016,659,277,253,211780,132594,4202,2050,2808,161194,38400,183199,80310,36927,38074,41657,25853,20154,35281,7570,22085,36445,27853,10786,10608,308503,137599,80627,84798,45175,35336,33504,1843,20041,52879,26836
merge_NG-28520_B06-bin.59,178,16,1484,1296,1671,389,2328,971,769,12,85,16,20,2,4,11,10,8,32,247,820,35,107,10,5,65,9,100,344,1048,531,1413,1196,894,13177,920,719,69,232,9996,771,479,79,344,10228,1864,518,207,249,1934,1765,816,122,225,155
merge_NG-28520_B06-bin.60,1345,1972,567956,291129,439377,150198,503043,726529,653829,2,8,11,2,2,3,2,3,91,0,3,2970,3330,2761,6,7,153,3,55,341161,312152,316968,253058,259984,318001,13078,3554,410,510,1350,884,1648,666,363,1361,70373,59831,45925,38129,19503,110892,115178,57318,298276,19351,313478
merge_NG-28520_B06-bin.61,3873,1677,6389,5419,6540,1264,3881,4073,3894,1126,6521,2818,3742,2670,4100,3108,4576,3644,5546,9487,6572,2415,2108,6825,4217,9522,4069,6705,4886,4584,5014,6906,5202,4400,46039,53328,21068,8028,12528,29326,39679,15062,6929,9264,29611,39500,22369,12574,8915,34470,35288,1878,4141,2963,2778
merge_NG-28520_B06-bin.7,97,112,95889,28734,24764,8597,12288,13859,12750,24,86,13,9,13389,16422,16973,13249,9045,10246,778,487,126,159,27821,18782,37956,17139,17422,26225,8646,35754,38560,33686,50571,16461,8258,7003,14225,12227,10073,8809,5449,5352,13077,43331,18358,10012,11160,11326,42222,37364,27136,34218,19881,9749
merge_NG-28520_B06-bin.9,44352,65937,124007,219223,156950,32789,65006,80335,70309,1383,3689,30969,42180,5145,4122,2621,4493,2806,5535,8738,91806,65428,144187,12244,9531,40200,10520,10764,54822,121329,183219,249130,209374,152022,992991,563302,1057593,1150077,1796479,702288,527282,678608,536129,2611835,1133841,1368093,862802,929099,1581295,2062933,1463257,911820,198436,1030236,346030
merge_NG-28520_B11-bin.12,128,18,554,604,1222,297,1304,2192,2078,10,65,16,16,1,4,2,3,5,10,237,428,22,50,1,2,23,4,14,411,414,1406,950,241,2908,5884,10394,6818,3832,2565,3595,9137,5662,3148,2518,4591,6317,3889,3436,2138,1576,1664,167,2395,1408,757
merge_NG-28520_B11-bin.16,5591,3185,8606,4694,6502,1022,105130,70008,72277,1036,5536,4337,5235,3369,5874,3645,5291,5651,7023,24023,11669,4402,5449,8745,5156,16245,6415,10667,4766,4028,3631,10303,45396,6760,1785,389792,621107,313559,543671,1534,145918,95761,31686,593063,146862,88285,82590,54468,164098,3045,2695,16642,50932,176971,29369
merge_NG-28520_B11-bin.30,280,152,38663,27634,25672,7376,80347,153615,94090,49,259,29,32,560,294,1469,171,294,571,44838,1140,204,225,2465,451,13322,7606,29950,9638,22907,35891,95682,37835,6871,5851,456083,108252,303591,710545,8630,471367,95910,309686,630619,10213,42874,77878,158440,358251,2424,2255,21152,58401,77321,82480
merge_NG-28520_B11-bin.46,4914,646,102043,199215,214394,61255,3037928,3306019,3050130,775,4204,75,59,1274,1160,683,2490,300,1537,231,7581,2223,343,2636,1483,2386,765,970,113771,148814,90909,1205377,1990996,1796717,94992,539556,1461366,1756391,2222786,72878,618270,1959809,1926348,2138975,163561,288471,1038799,2093638,2371401,98227,86244,97114,168433,943579,396566
merge_NG-28520_B11-bin.49,31,38,90461,117248,121218,30117,151324,178090,255589,5,10,6,1,0,5,8,14,5,11,1,135,142,89,12,1,20,4,5,43316,100333,64844,98205,73978,60612,5222,18692,58950,41253,100920,128494,302889,344418,185102,67271,77911,153999,141629,107736,30126,16843,12682,154444,20477,35952,71834
merge_NG-28520_B11-bin.51,244,108,5286,2187,2521,642,1544,2222,1986,153,559,47,50,755,1501,547,676,432,16164,7817,658,179,123,1368,1145,2213,5845,3136,3456,2397,3055,3754,2331,2621,58639,499638,75429,38161,17736,49658,422697,78612,25218,15402,30921,135703,77416,40421,9698,2518,2417,19966,2726,2200,6599
merge_NG-28520_B11-bin.6,50,18,104779,6543,15107,2109,32779,922,12783,16,50,13,5,4,1,3,1,1,14,71,353,39,37,2,0,40,4,15,84874,309,46675,9030,2185,63429,71,23914,13654,15710,4672,42,42595,23719,10914,7358,231430,98604,66641,71076,36372,57,89,250159,9736,42995,27359
merge_NG-28520_B11-bin.63,3541,863,1146696,1916553,2570554,634949,88517,62235,178292,783,4839,1149,1031,2000,3289,1493,1578,4045,2817,17665,7550,1492,1625,3577,6855,15629,9829,29420,807736,21726,16359,1506086,785893,163434,9316,889637,740549,747912,1979718,5796,1263761,790102,396932,3052498,67600,739039,1259304,1821836,2800194,6798,6572,65474,459853,1870809,600718
merge_NG-28520_B16-bin.16,576,1091,16,20,36,7,126,121,84,2,4,0,1,3,23,8,43,15,79,46,1561,1743,1337,12,0,220,41,31,235,190,219,1064,833,1160,0,169,46916,62492,52738,0,177,26180,32212,45546,35187,14259,19637,65456,67602,4,7,29819,37810,32170,38057
merge_NG-28520_B16-bin.2,13702,1479,1315,3814,5485,1288,2276,1262,1397,13,84,20,34,57,476,278,35062,4454,95415,517020,21060,3523,1132,362,8372,8732,4049,3442,4053,2279,3385,21060,15366,16832,3274,32030,58689,18465,34581,2859,28012,34519,13653,37820,2729,14966,24582,35699,26777,799,810,1097,23642,2873,4195
merge_NG-28520_B16-bin.29,212,136,67890,19687,28298,5675,41069,75721,75911,49,213,13,10,1439,2659,1542,319,1387,430,9817,794,228,186,3197,1627,28319,10705,6776,111152,46779,240105,163256,200583,126954,10657,33225,137142,70072,110346,5991,34565,121721,46590,123382,34085,32846,53244,30082,91736,9474,6985,71686,21765,62122,18189
